Date & Time,Instrument,Entry Price,Exit Price,Stop-Loss,Take-Profit,Result,R:R,Notes
2025-01-15 10:32,BTC-USD,89200,89767,88500,90500,Win,1.8,Breakout trade above resistance
2025-01-16 14:10,BTC-USD,89850,89500,89200,91000,Loss,0.7,"False breakout, volume weak"
2025-01-17 09:50,BTC-USD,88700,89767,88000,90000,Win,1.4,Trend continuation trade
2025-01-18 12:20,BTC-USD,90300,89767,89500,91500,Loss,1.0,"Entered late, retracement happened"
2025-01-19 18:05,BTC-USD,89050,89767,88300,90500,Win,1.2,EMA bounce entry
2025-01-20 11:15,BTC-USD,89500,90120,88800,90500,Win,1.5,Support bounce
2025-01-21 09:40,BTC-USD,90250,89600,89700,91500,Loss,0.8,Failed continuation setup
2025-01-22 15:05,BTC-USD,88900,89980,88250,90500,Win,1.6,Bullish divergence
2025-01-23 13:10,BTC-USD,90500,90030,89750,91800,Loss,1.0,News volatility hit stop
2025-01-24 16:45,BTC-USD,89250,90110,88500,90500,Win,1.3,Strong buying zone
2025-01-25 10:20,BTC-USD,89800,89300,89050,91000,Loss,0.9,Breakout failed
2025-01-26 17:55,BTC-USD,88450,89570,87900,90000,Win,1.7,Oversold bounce
2025-01-27 14:32,BTC-USD,90320,89780,89500,91500,Loss,1.1,Premature long entry
2025-01-28 11:14,BTC-USD,88880,89810,88150,90300,Win,1.4,Perfect trend continuation
2025-01-29 18:40,BTC-USD,90150,89700,89500,91000,Loss,0.7,Low volume pullback
2025-01-30 09:50,BTC-USD,89050,89930,88300,90500,Win,1.5,EMA support bounce
2025-01-31 13:22,BTC-USD,89500,88910,88800,91000,Loss,0.6,Reversal misread
2025-02-01 16:05,BTC-USD,88200,89770,87500,90000,Win,2.0,High-conviction dip buy
2025-02-02 11:40,BTC-USD,90500,89960,89500,92000,Loss,0.9,Price rejected at resistance
2025-02-03 10:31,BTC-USD,88900,90210,88200,90500,Win,1.8,Bullish structure intact
2025-02-04 17:20,BTC-USD,89750,89320,89000,91000,Loss,0.85,Choppy market
2025-02-05 12:15,BTC-USD,88350,89580,87700,90000,Win,1.9,RSI oversold + trendline bounce
2025-02-06 14:40,BTC-USD,90100,89800,89400,91500,Loss,0.8,No follow-through
2025-02-07 09:55,BTC-USD,89020,90330,88300,90500,Win,1.6,Strong bullish candle
2025-02-08 18:22,BTC-USD,89300,88840,88700,91000,Loss,0.7,Fakeout wick
2025-02-09 11:30,BTC-USD,88150,89500,87500,90000,Win,1.9,Market flushed then recovered
2025-02-10 15:15,BTC-USD,89750,89040,88700,91000,Loss,0.7,Breakout trap
2025-02-11 10:45,BTC-USD,88900,89970,88250,90500,Win,1.5,High volume breakout
2025-02-12 13:55,BTC-USD,90150,89580,89400,91500,Loss,0.9,Bad timing
2025-02-13 09:20,BTC-USD,88320,89670,87650,90000,Win,1.8,Strong trend day
